time,open,high,low,close,volume
1700108000,32134.62,32449.55,32118.62,32434.55,65.0
1700111600,32722.33,33010.78,32705.83,32995.28,65.5
1700115200,33250.82,33502.4,33233.82,33486.4,66.0
1700118800,33699.3,33902.56,33681.8,33886.06,66.5
1700122400,34041.25,34172.22,34023.25,34155.22,67.0
1700126000,34210.74,34228.24,34164.2,34179.2,67.5
1700129600,34018.73,34036.73,33662.45,33677.95,68.0
1700133200,33109.29,33127.79,32276.47,32292.47,68.5
1700136800,31261.69,31280.69,30106.28,30122.78,69.0
1700140400,29044.91,29064.41,28203.32,28220.32,69.5
1700144000,27803.19,27868.77,27785.69,27853.77,70.0
1700147600,28315.86,29054.83,28297.86,29039.33,70.5
1700151200,29835.85,30556.1,29820.85,30540.1,71.0
1700154800,31049.89,31350.99,31034.39,31334.49,71.5
1700158400,31417.43,31434.43,31333.24,31349.24,72.0
1700162000,31184.0,31201.5,30949.44,30965.94,72.5
1700165600,30725.69,30743.69,30465.14,30482.14,73.0
1700169200,30246.23,30264.73,30006.78,30024.28,73.5
1700172800,29820.24,29839.24,29618.91,29636.91,74.0
1700176400,29476.51,29496.01,29325.91,29340.91,74.5
1700180000,29231.67,29246.67,29134.59,29150.09,75.0
1700183600,29097.19,29112.69,29057.69,29073.69,75.5
1700187200,29080.03,29132.34,29063.53,29116.34,76.0
1700190800,29182.47,29294.44,29165.47,29277.94,76.5
1700194400,29402.01,29570.64,29384.51,29553.64,77.0
1700198000,29731.51,29951.55,29713.51,29934.05,77.5
1700201600,30159.42,30423.59,30144.42,30405.59,78.0
1700205200,30670.28,30969.56,30654.78,30951.06,78.5
1700208800,31245.31,31569.3,31229.31,31550.3,79.0
1700212400,31863.19,32200.53,31846.69,32181.03,79.5
