time,open,high,low,close,volume
1700086400,214.2288,214.9288,213.2798,214.1798,1342
1700090000,214.2501,214.9904,213.7001,214.4404,1350
1700093600,214.7499,216.0768,214.0499,215.1768,1358
1700097200,215.7181,217.1196,214.8681,216.3696,1366
1700100800,217.1261,218.5812,216.6261,217.9812,1374
1700104400,218.9277,220.9074,218.2777,219.9574,1382
1700108000,221.0611,223.0292,220.2611,222.2292,1390
1700111600,223.4512,225.3662,222.5012,224.7162,1398
1700115200,226.0127,227.8291,225.4127,227.3291,1406
1700118800,228.6535,230.8238,227.9035,229.9738,1414
1700122400,231.2781,233.2547,230.3781,232.5547,1422
1700126000,233.792,235.5288,233.242,234.9788,1430
1700129600,236.1043,238.0577,235.4043,237.1577,1438
1700133200,238.1274,239.7485,237.2774,238.9985,1446
1700136800,239.748,240.9349,239.248,240.3349,1454
1700140400,240.6868,241.6368,240.0336,240.6836,1462
1700144000,240.1502,240.9502,238.0714,238.8714,1470
1700147600,236.6481,237.2981,232.4446,233.3946,1478
1700151200,229.2525,229.7525,224.0615,224.6615,1486
1700154800,220.3255,221.1755,216.2942,217.0442,1494
1700158400,215.459,216.5198,214.559,215.8198,1502
1700162000,217.8914,221.5971,217.3414,221.0471,1510
1700165600,224.5014,228.4642,223.8014,227.5642,1518
1700169200,229.8092,231.8573,228.9592,231.1073,1526
1700172800,231.556,232.156,230.8651,231.3651,1534
1700176400,230.7595,231.7095,229.2731,229.9231,1542
1700180000,228.9832,229.7832,227.2183,228.0183,1550
1700183600,227.0738,227.7238,225.2263,226.1763,1558
1700187200,225.3421,225.8421,223.9834,224.5834,1566
1700190800,223.9097,224.7597,222.5793,223.3293,1574
1700194400,222.8492,223.5492,221.5755,222.4755,1582
1700198000,222.2132,222.7632,221.5162,222.0662,1590
1700201600,222.0372,223.0277,221.3372,222.1277,1598
1700205200,222.3381,223.4175,221.4881,222.6675,1606
1700208800,223.1139,224.274,222.6139,223.674,1614
1700212400,224.3436,226.0671,223.6936,225.1171,1622
1700216000,225.9882,227.7492,225.1882,226.9492,1630
1700219600,227.992,229.7573,227.042,229.1073,1638
1700223200,230.2852,232.0152,229.6852,231.5152,1646
1700226800,232.7863,234.937,232.0363,234.087,1654
