time,open,high,low,close,volume
1700000000,130.0977,131.3695,129.5477,130.8195,1025
1700003600,131.4345,132.8377,130.7345,131.9377,1033
1700007200,132.3254,133.3449,131.4754,132.5949,1041
1700010800,132.7449,133.375,132.2449,132.775,1049
1700014400,132.6862,133.6362,131.8306,132.4806,1057
1700018000,132.1616,132.9616,130.9335,131.7335,1065
1700021600,131.202,131.852,129.6235,130.5735,1073
1700025200,129.8556,130.3556,128.4567,129.0567,1081
1700028800,128.186,129.036,126.5036,127.2536,1089
1700032400,126.2699,126.9699,124.346,125.246,1097
1700036000,124.1934,124.7434,122.574,123.124,1105
1700039600,122.0495,122.9495,120.2821,120.9821,1113
1700043200,119.9335,120.6835,118.0656,118.9156,1121
1700046800,117.9398,118.5398,116.517,117.017,1129
1700050400,116.1577,117.1077,114.7218,115.3718,1137
1700054000,114.6684,115.4684,113.2557,114.0557,1145
1700057600,113.5411,114.1911,112.181,113.131,1153
1700061200,112.8308,113.3308,112.0446,112.6446,1161
1700064800,112.5757,113.4759,111.8257,112.6259,1169
1700068400,112.796,113.7856,111.896,113.0856,1177
1700072000,113.4929,114.5652,112.9429,114.0152,1185
1700075600,114.6485,116.2878,113.9485,115.3878,1193
1700079200,116.2268,117.9085,115.3768,117.1585,1201
1700082800,118.1748,119.8668,117.6748,119.2668,1209
1700086400,120.4248,122.5885,119.7748,121.6385,1217
1700090000,122.897,124.989,122.097,124.189,1225
1700093600,125.5029,127.4768,124.5529,126.8268,1233
1700097200,128.1486,129.9564,127.5486,129.4564,1241
1700100800,130.7385,132.8332,129.9885,131.9832,1249
1700104400,133.1794,135.0163,132.2794,134.3163,1257
1700108000,135.3838,136.9226,134.8338,136.3726,1265
1700111600,137.274,138.9802,136.574,138.0802,1273
1700115200,138.7845,140.131,137.9345,139.381,1281
1700118800,139.865,140.833,139.365,140.233,1289
1700122400,140.4825,141.5623,139.8325,140.6123,1297
1700126000,140.6223,141.4223,139.7135,140.5135,1305
1700129600,140.2882,140.9382,138.9989,139.9489,1313
1700133200,139.4981,139.9981,138.335,138.935,1321
1700136800,138.2508,139.1008,136.6691,137.4191,1329
1700140400,136.3814,137.0814,134.1318,135.0318,1337
1700144000,133.2083,133.7583,130.1589,130.7089,1345
1700147600,127.3464,128.2464,122.3468,123.0468,1353
1700151200,117.9619,118.7119,111.691,112.541,1361
1700154800,107.496,108.096,103.1341,103.6341,1369
1700158400,101.6023,102.6048,100.9523,101.6548,1377
1700162000,103.5597,107.4919,102.7597,106.6919,1385
1700165600,110.2661,114.2411,109.3161,113.5911,1393
1700169200,116.2378,118.5733,115.6378,118.0733,1401
1700172800,119.1896,120.6399,118.4396,119.7899,1409
1700176400,120.0912,120.9682,119.1912,120.2682,1417
1700180000,120.4381,121.2185,119.8881,120.6685,1425
1700183600,120.9928,122.3246,120.2928,121.4246,1433
1700187200,121.9675,123.3694,121.1175,122.6194,1441
1700190800,123.376,124.8312,122.876,124.2312,1449
1700194400,125.1777,127.1574,124.5277,126.2074,1457
1700198000,127.3111,129.2792,126.5111,128.4792,1465
1700201600,129.7012,131.6162,128.7512,130.9662,1473
1700205200,132.2627,134.0791,131.6627,133.5791,1481
1700208800,134.9035,137.0738,134.1535,136.2238,1489
1700212400,137.5281,139.5047,136.6281,138.8047,1497
1700216000,140.042,141.7789,139.492,141.2289,1505
1700219600,142.3549,144.3098,141.6549,143.4098,1513
1700223200,144.3845,146.0204,143.5345,145.2704,1521
1700226800,146.0599,147.3465,145.5599,146.7465,1529
